id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
6928,1322,321,18,11,3,1,2020-01-08 09:07:23+00,,
6929,1322,776,18,11,2,1,2020-01-08 09:07:23+00,,
6930,840,325,18,11,3,0,2020-01-08 09:12:40+00,,
6931,840,784,18,11,5,0,2020-01-08 09:12:40+00,,
6932,840,776,18,11,2,0,2020-01-08 09:12:40+00,,
6933,840,319,18,11,2,0,2020-01-08 09:12:40+00,,
6934,840,375,18,11,4,0,2020-01-08 09:12:40+00,,
6935,840,323,18,11,3,0,2020-01-08 09:12:40+00,,
6936,840,324,18,11,4,0,2020-01-08 09:12:40+00,,
6937,1087,417,18,10,2,0,2020-01-08 09:22:16+00,,
6938,1087,423,18,10,4,0,2020-01-08 09:22:16+00,,
6939,1087,415,18,10,4,0,2020-01-08 09:22:16+00,,
6940,1087,457,18,10,4,0,2020-01-08 09:22:16+00,,
6941,1087,459,18,10,4,1,2020-01-08 09:22:16+00,,
6942,1087,455,18,10,4,0,2020-01-08 09:22:16+00,,
6943,1087,416,18,10,2,0,2020-01-08 09:22:16+00,,
6944,168,291,18,11,3,1,2020-01-08 09:37:17+00,,
6945,168,379,18,11,2,0,2020-01-08 09:37:17+00,,
6946,168,287,18,11,4,-1,2020-01-08 09:37:17+00,,
6947,168,323,18,11,3,1,2020-01-08 09:37:17+00,,
6948,168,384,18,11,5,0,2020-01-08 09:37:17+00,,
6949,168,375,18,11,4,0,2020-01-08 09:37:17+00,,
6950,168,784,18,11,5,1,2020-01-08 09:37:17+00,,
6951,1273,439,18,10,3,1,2020-01-08 09:43:28+00,,
6952,1273,419,18,10,1,1,2020-01-08 09:43:28+00,,
6953,1273,427,18,10,3,1,2020-01-08 09:43:28+00,,
6955,1273,446,18,10,1,1,2020-01-08 09:43:28+00,,
6956,1273,440,18,10,1,0,2020-01-08 09:43:28+00,,
6957,1273,451,18,10,2,0,2020-01-08 09:43:28+00,,
6958,1150,290,18,11,2,-1,2020-01-08 09:46:24+00,,
6959,1150,381,18,11,4,-1,2020-01-08 09:46:24+00,,
6960,1150,293,18,11,2,-1,2020-01-08 09:46:24+00,,
6961,1150,782,18,11,1,-1,2020-01-08 09:46:24+00,,
6962,1150,380,18,11,1,-1,2020-01-08 09:46:24+00,,
6963,1150,289,18,11,4,-1,2020-01-08 09:46:24+00,,
6964,1150,778,18,11,1,-1,2020-01-08 09:46:24+00,,
6965,1279,377,18,11,5,0,2020-01-08 09:46:31+00,,
6966,1279,277,18,11,3,0,2020-01-08 09:46:31+00,,
6967,1279,323,18,11,3,0,2020-01-08 09:46:31+00,,
6968,1279,324,18,11,4,0,2020-01-08 09:46:31+00,,
6969,1279,296,18,11,5,0,2020-01-08 09:46:31+00,,
6970,1279,376,18,11,5,0,2020-01-08 09:46:31+00,,
6971,1279,383,18,11,3,0,2020-01-08 09:46:31+00,,
6972,1308,778,18,11,1,0,2020-01-08 09:46:47+00,,
6973,1308,380,18,11,1,0,2020-01-08 09:46:47+00,,
6974,1308,381,18,11,4,0,2020-01-08 09:46:47+00,,
6975,1308,292,18,11,1,0,2020-01-08 09:46:47+00,,
6976,1308,782,18,11,1,0,2020-01-08 09:46:47+00,,
6977,1308,382,18,11,1,0,2020-01-08 09:46:47+00,,
6978,1308,293,18,11,2,0,2020-01-08 09:46:47+00,,
6979,1277,278,18,11,1,0,2020-01-08 09:48:04+00,,
6980,1277,290,18,11,2,0,2020-01-08 09:48:04+00,,
6981,1277,782,18,11,1,0,2020-01-08 09:48:04+00,,
6982,1277,288,18,11,4,0,2020-01-08 09:48:04+00,,
6983,1277,292,18,11,1,0,2020-01-08 09:48:04+00,,
6984,1277,381,18,11,4,0,2020-01-08 09:48:04+00,,
6985,1277,380,18,11,1,0,2020-01-08 09:48:04+00,,
6986,1135,292,18,11,1,-1,2020-01-08 09:48:09+00,,
6987,1135,779,18,11,4,-1,2020-01-08 09:48:09+00,,
6988,1135,385,18,11,1,-1,2020-01-08 09:48:09+00,,
6989,1135,290,18,11,2,-1,2020-01-08 09:48:09+00,,
6990,1135,382,18,11,1,-1,2020-01-08 09:48:09+00,,
6991,1135,278,18,11,1,-1,2020-01-08 09:48:09+00,,
6992,1135,781,18,11,4,-1,2020-01-08 09:48:09+00,,
6993,168,290,18,11,2,1,2020-01-08 09:49:01+00,,
6994,168,382,18,11,1,0,2020-01-08 09:49:01+00,,
